epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,3240.9,0.60581,0.38536,0.84409,0.21429,0.2237,0.18999,0.12346,1.19803,1.99052,1.16833,0.0093664,0.0093664,0.0093664
66,3291.58,0.62253,0.38581,0.84767,0.21075,0.22146,0.19583,0.12744,1.19919,2.08127,1.18202,0.0093565,0.0093565,0.0093565
67,3341.31,0.61225,0.38256,0.84471,0.20789,0.21841,0.18299,0.12209,1.19736,2.14164,1.15846,0.0093466,0.0093466,0.0093466
68,3389.39,0.60397,0.38183,0.84055,0.22224,0.23543,0.20425,0.13862,1.15171,1.88101,1.1527,0.0093367,0.0093367,0.0093367
69,3439.2,0.60528,0.38262,0.84561,0.20302,0.23645,0.19129,0.12766,1.15617,1.96369,1.16039,0.0093268,0.0093268,0.0093268
70,3487.39,0.6048,0.37982,0.84357,0.20575,0.23467,0.19441,0.12847,1.16692,1.82897,1.15591,0.0093169,0.0093169,0.0093169
71,3535.35,0.61041,0.38332,0.84251,0.19609,0.2333,0.18194,0.12353,1.16333,1.91237,1.16352,0.009307,0.009307,0.009307
72,3583.93,0.59339,0.37526,0.84216,0.21291,0.23145,0.19577,0.12641,1.19233,1.87473,1.18589,0.0092971,0.0092971,0.0092971
73,3631.98,0.5963,0.37642,0.84375,0.20345,0.21362,0.18288,0.12068,1.19409,1.97625,1.17639,0.0092872,0.0092872,0.0092872
74,3679.93,0.6049,0.38401,0.84286,0.20919,0.21904,0.1873,0.12253,1.18953,2.10212,1.15613,0.0092773,0.0092773,0.0092773
75,3728.2,0.60171,0.37749,0.84392,0.18439,0.23278,0.18579,0.12065,1.19548,1.9505,1.17456,0.0092674,0.0092674,0.0092674
76,3775.81,0.59527,0.37282,0.84109,0.20847,0.23603,0.194,0.12879,1.14746,2.00085,1.14686,0.0092575,0.0092575,0.0092575
77,3827.64,0.5978,0.37334,0.84055,0.21182,0.2248,0.18953,0.12661,1.15803,2.02107,1.17015,0.0092476,0.0092476,0.0092476
78,3875.7,0.60246,0.37656,0.84577,0.20982,0.22365,0.18713,0.12493,1.17173,2.12655,1.16032,0.0092377,0.0092377,0.0092377
79,3923.24,0.5952,0.3751,0.83986,0.2164,0.22789,0.20301,0.13369,1.19451,1.77721,1.20398,0.0092278,0.0092278,0.0092278
80,3976.06,0.59051,0.37011,0.8439,0.20415,0.22729,0.19263,0.12793,1.16347,1.97397,1.16339,0.0092179,0.0092179,0.0092179
81,4025.7,0.59107,0.37047,0.83909,0.2065,0.21647,0.18795,0.12509,1.14849,2.00446,1.1785,0.009208,0.009208,0.009208
82,4073.24,0.58447,0.36416,0.83854,0.21434,0.21794,0.19551,0.13113,1.15962,2.16239,1.15971,0.0091981,0.0091981,0.0091981
83,4121.37,0.5939,0.37016,0.83999,0.19663,0.21749,0.17875,0.12037,1.15069,2.18348,1.15236,0.0091882,0.0091882,0.0091882
84,4168.76,0.59642,0.36912,0.84103,0.21727,0.22722,0.19676,0.12905,1.17626,1.93747,1.16923,0.0091783,0.0091783,0.0091783
85,4221.05,0.58811,0.36755,0.84002,0.19841,0.21395,0.17844,0.12088,1.15118,2.23187,1.1566,0.0091684,0.0091684,0.0091684
86,4268.76,0.57767,0.36516,0.83814,0.22044,0.23153,0.19813,0.12975,1.16773,1.90156,1.1585,0.0091585,0.0091585,0.0091585
87,4320.61,0.5795,0.36211,0.83768,0.21396,0.22548,0.19453,0.12927,1.18279,1.95376,1.17418,0.0091486,0.0091486,0.0091486
88,4368.07,0.58053,0.36609,0.84152,0.17757,0.19965,0.1576,0.10715,1.13768,2.44724,1.14728,0.0091387,0.0091387,0.0091387
89,4415.66,0.57702,0.3616,0.83714,0.18708,0.21599,0.16322,0.10953,1.15586,2.2585,1.16224,0.0091288,0.0091288,0.0091288
90,4463.67,0.58767,0.37017,0.84327,0.20442,0.23204,0.18874,0.1279,1.13809,2.01691,1.17059,0.0091189,0.0091189,0.0091189
